Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:COPx,2:COPy
76.000000,31.793036,-2.508334,344.977661,39.356529,29.202185,-1.712561,-0.084649,0.114084,-24.801325,-3.101143,297.983215,28.528660,-14.988288,0.050299,0.095739
77.000000,31.792292,-2.510624,345.336273,39.287903,29.154089,-1.712498,-0.084422,0.113767,-24.579054,-3.101610,297.982422,28.529118,-14.979037,0.050268,0.095741
78.000000,31.797945,-2.069513,345.699799,39.336006,29.203474,-1.711751,-0.084476,0.113787,-24.578617,-3.100082,297.618896,28.459866,-15.028176,0.050495,0.095625
79.000000,31.792837,-2.294229,345.682983,39.349007,29.205252,-1.741425,-0.084486,0.113830,-24.578617,-3.100082,297.618896,28.459866,-15.028176,0.050495,0.095625
80.000000,31.799093,-2.068250,345.704651,39.474274,29.300962,-1.711749,-0.084757,0.114185,-24.356976,-2.881000,297.251984,28.519623,-14.969718,0.050360,0.095944
81.000000,31.799501,-2.069278,346.068176,39.543922,29.350355,-1.711685,-0.084811,0.114266,-24.580429,-2.881449,296.885040,28.449013,-14.929954,0.050289,0.095825
82.000000,31.581709,-1.848206,346.437561,39.604324,29.290274,-1.783295,-0.084547,0.114319,-24.799570,-2.874647,296.528076,28.519238,-15.088932,0.050885,0.096177
83.000000,31.799639,-1.851870,346.051392,39.535370,29.352125,-1.740677,-0.084820,0.114247,-25.023205,-2.659335,296.525055,28.506901,-14.998413,0.050581,0.096137
84.000000,31.800840,-1.853323,346.790558,39.675423,29.351721,-1.740911,-0.084638,0.114407,-24.583214,-2.663194,296.155151,28.577274,-14.929253,0.050410,0.096494
85.000000,31.799084,-1.853253,346.045441,39.675255,29.353117,-1.740582,-0.084824,0.114653,-24.805483,-2.662727,296.155945,28.576820,-14.938505,0.050441,0.096492
86.000000,31.800148,-2.072113,346.801392,39.823845,29.350950,-1.711823,-0.084633,0.114832,-24.805483,-2.662727,296.155945,28.576820,-14.938505,0.050441,0.096492
87.000000,32.024178,-1.854110,346.794189,39.813873,29.362242,-1.783255,-0.084668,0.114805,-24.580709,-2.439215,295.794617,28.636288,-14.882750,0.050314,0.096811
88.000000,32.024586,-1.855138,347.157684,39.883514,29.411634,-1.783191,-0.084721,0.114886,-24.802542,-2.437220,295.431915,28.566582,-14.941139,0.050574,0.096694
89.000000,32.024586,-1.855138,347.157684,39.883514,29.411634,-1.783191,-0.084721,0.114886,-24.802542,-2.437220,295.431915,28.566582,-14.941139,0.050574,0.096694
90.000000,32.024723,-1.637715,347.140900,39.874969,29.413404,-1.812183,-0.084730,0.114867,-24.802542,-2.437220,295.431915,28.566582,-14.941139,0.050574,0.096694
91.000000,32.025925,-1.639168,347.880066,40.015015,29.413000,-1.812417,-0.084549,0.115025,-24.798620,-2.214745,295.434082,28.556423,-14.942589,0.050578,0.096659
92.000000,32.025265,-1.421328,347.487610,39.936073,29.464567,-1.841112,-0.084793,0.114928,-24.798620,-2.214745,295.434082,28.556423,-14.942589,0.050578,0.096659
93.000000,32.024300,-1.421683,347.118164,40.006310,29.416168,-1.841080,-0.084744,0.115253,-24.801661,-2.213779,294.703796,28.695663,-14.943507,0.050707,0.097371
94.000000,32.024162,-1.639098,347.134979,40.014854,29.414398,-1.812088,-0.084735,0.115272,-24.802843,-2.214696,294.336060,28.625507,-14.894492,0.050604,0.097255
95.000000,32.025673,-1.422356,347.851105,40.005722,29.513960,-1.841047,-0.084847,0.115008,-24.801661,-2.213779,294.703796,28.695663,-14.943507,0.050707,0.097371
96.000000,32.248600,-1.422116,347.491272,40.074524,29.475090,-1.883457,-0.084823,0.115325,-24.578955,-2.212718,294.339508,28.626862,-14.983394,0.050905,0.097258
97.000000,32.253704,-1.197392,347.508118,40.061523,29.473312,-1.853781,-0.084813,0.115282,-24.803776,-1.996419,293.605408,28.615345,-14.990884,0.051058,0.097462
98.000000,32.249805,-1.423568,348.230438,40.214577,29.474686,-1.883690,-0.084641,0.115483,-24.802153,-1.995879,293.972961,28.545277,-14.942012,0.050828,0.097102
99.000000,32.248981,-1.206501,347.844177,40.276260,29.428055,-1.912651,-0.084601,0.115788,-24.803822,-2.211662,293.609863,28.625427,-14.895677,0.050733,0.097495
100.000000,32.254086,-0.981777,347.861023,40.263260,29.426277,-1.882975,-0.084592,0.115745,-24.805445,-2.212202,293.242279,28.695496,-14.944549,0.050963,0.097856
101.000000,32.250351,-1.207173,348.577148,40.275673,29.525848,-1.912618,-0.084704,0.115543,-24.803568,-1.994373,293.610291,28.614449,-14.894059,0.050727,0.097457
102.000000,32.473282,-1.206933,348.217316,40.344482,29.486969,-1.955025,-0.084680,0.115860,-24.805191,-1.994913,293.242706,28.684517,-14.942931,0.050958,0.097818
103.000000,32.473824,-0.990546,348.563995,40.405586,29.538132,-1.983953,-0.084742,0.115920,-24.582739,-2.211142,292.877991,28.626694,-14.984435,0.051163,0.097743
104.000000,32.477962,-0.766177,348.211365,40.462814,29.487953,-1.954247,-0.084684,0.116202,-24.582485,-1.993853,292.878387,28.615715,-14.982818,0.051157,0.097705
