Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:COPx,2:COPy
116.000000,31.112438,-3.045527,320.367218,28.906527,26.276718,-1.468507,-0.082021,0.090229,-31.577837,-1.330122,323.221680,27.953857,-16.006359,0.049521,0.086485
117.000000,31.107792,-3.273994,321.448212,28.990950,26.229994,-1.498353,-0.081599,0.090189,-31.799135,-1.323107,322.134155,27.882874,-15.970481,0.049577,0.086557
118.000000,31.113710,-3.051325,322.192047,29.117243,26.327002,-1.468549,-0.081712,0.090372,-31.795958,-1.100023,321.405029,27.733307,-15.972051,0.049694,0.086288
119.000000,31.113461,-2.834505,322.163055,29.107943,26.427961,-1.497179,-0.082033,0.090352,-31.801062,-1.323413,321.035126,27.673309,-15.921588,0.049595,0.086200
120.000000,31.110521,-3.060327,323.254822,29.190758,26.477736,-1.527119,-0.081910,0.090303,-31.802244,-1.324330,320.667389,27.603153,-15.872571,0.049499,0.086080
121.000000,31.552803,-3.067132,323.976074,29.191799,26.500614,-1.527114,-0.081798,0.090105,-31.582136,-1.322680,319.572632,27.533371,-15.815490,0.049490,0.086157
122.000000,31.554173,-3.067804,324.709045,29.191212,26.598408,-1.527081,-0.081915,0.089900,-31.582388,-1.539969,319.572205,27.544350,-15.817109,0.049495,0.086191
123.000000,31.554714,-2.851417,325.055725,29.252312,26.649570,-1.556010,-0.081985,0.089992,-31.582880,-1.322070,318.841370,27.393959,-15.815612,0.049603,0.085917
124.000000,31.331636,-2.854068,325.773132,29.393036,26.738831,-1.513441,-0.082078,0.090225,-31.585045,-1.319953,317.747406,27.323723,-15.767783,0.049624,0.085992
125.000000,31.332432,-2.854492,326.148804,29.463432,26.689034,-1.513739,-0.081831,0.090337,-31.586227,-1.320870,317.379669,27.253567,-15.718768,0.049527,0.085871
126.000000,31.332502,-2.858838,327.234467,29.534103,26.739721,-1.513547,-0.081714,0.090254,-31.586971,-1.320260,316.648407,27.114159,-15.718890,0.049641,0.085629
127.000000,31.557766,-2.858916,327.977020,29.532085,26.847038,-1.555955,-0.081856,0.090043,-31.368488,-1.319150,315.186066,27.114445,-15.710679,0.049846,0.086027
128.000000,31.558222,-2.862659,329.074829,29.603508,26.798536,-1.556125,-0.081436,0.089960,-31.367611,-1.318000,314.822388,26.904968,-15.661929,0.049748,0.085461
129.000000,31.558630,-2.863686,329.438293,29.673157,26.847933,-1.556061,-0.081496,0.090072,-31.146523,-1.319384,314.453857,26.835266,-15.603663,0.049621,0.085339
130.000000,31.559919,-2.645009,329.426392,29.802879,26.947193,-1.585052,-0.081800,0.090469,-31.156097,-1.760014,312.985504,26.855328,-15.506719,0.049545,0.085804
131.000000,31.555439,-2.872688,330.501129,29.746672,26.998667,-1.614630,-0.081690,0.090005,-31.374014,-1.535546,312.624939,26.775463,-15.566558,0.049793,0.085647
132.000000,31.558149,-2.657399,331.956482,29.877581,27.097824,-1.643823,-0.081631,0.090005,-31.152487,-1.535403,311.892883,26.636509,-15.557427,0.049881,0.085403
133.000000,31.557049,-2.875168,331.603821,29.956366,27.047655,-1.614800,-0.081566,0.090338,-31.159002,-1.757286,311.160278,26.645683,-15.459012,0.049682,0.085633
134.000000,31.771082,-3.105001,331.940002,30.040464,27.110880,-1.602093,-0.081674,0.090500,-31.160931,-1.757593,310.061279,26.436119,-15.410119,0.049700,0.085261
135.000000,31.772255,-2.891577,333.378296,30.032351,27.211737,-1.630924,-0.081624,0.090085,-31.158195,-1.536036,309.695709,26.355804,-15.362552,0.049605,0.085102
136.000000,31.772663,-2.892605,333.741791,30.101999,27.261129,-1.630860,-0.081683,0.090195,-31.162651,-1.755853,308.967163,26.225658,-15.264400,0.049405,0.084882
137.000000,31.773594,-2.675615,334.100647,30.163851,27.213102,-1.660149,-0.081452,0.090284,-30.942749,-1.756249,307.867523,26.156773,-15.304143,0.049710,0.084961
138.000000,31.774031,-2.893278,334.474731,30.101414,27.358923,-1.630827,-0.081797,0.089996,-30.939577,-1.533166,307.138428,26.007202,-15.305715,0.049833,0.084676
139.000000,32.218266,-2.899245,335.576538,30.311127,27.429495,-1.631117,-0.081738,0.090326,-30.944912,-1.754133,306.773590,26.086536,-15.256312,0.049732,0.085035
140.000000,32.000080,-2.678768,335.933716,30.370777,27.468603,-1.702364,-0.081768,0.090407,-31.164797,-1.748622,306.048706,25.946377,-15.268392,0.049889,0.084779
141.000000,32.000542,-2.682511,337.031494,30.442200,27.420101,-1.702535,-0.081358,0.090324,-30.725990,-1.753400,305.311066,25.946594,-15.150214,0.049622,0.084984
142.000000,32.218880,-2.687196,337.008850,30.442894,27.531345,-1.659853,-0.081693,0.090333,-30.728354,-1.755234,304.575592,25.806282,-15.052184,0.049420,0.084729
143.000000,32.214981,-2.913372,337.731201,30.595943,27.532719,-1.689762,-0.081523,0.090593,-30.729099,-1.754623,303.844330,25.666874,-15.052306,0.049540,0.084474
144.000000,31.997620,-2.909963,338.474640,30.593906,27.618458,-1.732049,-0.081597,0.090388,-30.731262,-1.752507,302.750366,25.596634,-15.004478,0.049561,0.084547
145.000000,31.997417,-2.695866,339.179993,30.586380,27.621521,-1.760914,-0.081436,0.090177,-30.509993,-1.969654,302.017914,25.468658,-14.996966,0.049656,0.084328
146.000000,32.217346,-2.701400,339.908630,30.727875,27.633171,-1.718827,-0.081296,0.090400,-30.511898,-1.750245,300.924347,25.387447,-14.947518,0.049672,0.084365
147.000000,32.660782,-2.706942,340.634735,30.867195,27.753540,-1.718821,-0.081476,0.090617,-30.514704,-1.751702,300.189056,25.387360,-14.947371,0.049793,0.084571
148.000000,32.437519,-2.710500,341.716736,30.799404,27.793715,-1.676286,-0.081336,0.090131,-30.734840,-1.963484,299.463776,25.258183,-14.961069,0.049960,0.084345
149.000000,32.443886,-2.707276,342.476013,30.936577,27.790777,-1.761277,-0.081147,0.090332,-30.295595,-1.966735,298.362640,25.189144,-14.892031,0.049913,0.084425
150.000000,32.444431,-2.490889,342.822693,30.997677,27.841940,-1.790204,-0.081214,0.090419,-30.295647,-1.749208,297.631592,24.898533,-14.792649,0.049701,0.083656
151.000000,32.664394,-2.713058,343.561981,31.007084,27.950018,-1.718861,-0.081354,0.090252,-30.304041,-2.188927,296.531006,24.988754,-14.744722,0.049724,0.084270
152.000000,32.660625,-2.721820,344.267517,31.151592,27.953161,-1.777762,-0.081196,0.090487,-30.299244,-1.965301,296.169495,24.769115,-14.697423,0.049625,0.083632
153.000000,32.442303,-2.718766,344.641510,31.219784,27.990499,-1.820016,-0.081216,0.090586,-30.083445,-1.972408,295.431641,24.768665,-14.684959,0.049707,0.083839
154.000000,32.660698,-2.726166,345.353149,31.222256,28.003849,-1.777571,-0.081088,0.090407,-29.863590,-2.188051,294.336456,24.709858,-14.629496,0.049703,0.083951
155.000000,32.661243,-2.509778,345.699829,31.283356,28.055012,-1.806498,-0.081154,0.090493,-30.086788,-1.971208,293.969940,24.628273,-14.588110,0.049624,0.083778
156.000000,33.105095,-2.731353,346.448700,31.291338,28.172617,-1.777596,-0.081318,0.090320,-29.866934,-2.186851,292.874756,24.569466,-14.532650,0.049621,0.083891
157.000000,32.882545,-2.515985,347.161438,31.424269,28.164461,-1.764380,-0.081128,0.090518,-29.867682,-2.186241,292.143494,24.430058,-14.532770,0.049745,0.083623
158.000000,32.664852,-2.515894,348.627045,31.423246,28.251492,-1.806539,-0.081036,0.090134,-29.646158,-2.186097,291.411469,24.291103,-14.523642,0.049839,0.083357
159.000000,32.664299,-2.517277,348.621094,31.563131,28.252483,-1.806443,-0.081041,0.090537,-29.649940,-2.186425,290.313263,24.219963,-14.377657,0.049525,0.083427
